Random Seed,Packet arrival count,Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),B_t,B_d,block_rate,output_rate,clk_tic,
5,10243, 10000,0.97628,1000.000, 12.644404, 15, 25, 0.022, 0.975, 0.001000, 
6,14977, 10000,0.66769,1500.000, 4.889444, 15, 5, 0.332, 0.996, 0.001000, 
6,14918, 10000,0.67033,1500.000, 9.824178, 15, 10, 0.329, 1.000, 0.001000, 
6,14918, 10000,0.67033,1500.000, 14.809769, 15, 15, 0.329, 1.000, 0.001000, 
6,14918, 10000,0.67033,1500.000, 19.787789, 15, 20, 0.328, 1.000, 0.001000, 
6,14918, 10000,0.67033,1500.000, 24.759687, 15, 25, 0.328, 1.000, 0.001000, 
0,10000, 10000,1.00000,240.000, 1.158666, 15, 5, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158666, 15, 10, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158666, 15, 15, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158666, 15, 20, 0.000, 0.240, 0.000500, 
0,10000, 10000,1.00000,240.000, 1.158666, 15, 25, 0.000, 0.240, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167391, 15, 5, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167391, 15, 10, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167391, 15, 15, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167391, 15, 20, 0.000, 0.250, 0.000500, 
1,10000, 10000,1.00000,250.000, 1.167391, 15, 25, 0.000, 0.250, 0.000500, 
2,10006, 10000,0.99940,490.000, 1.477542, 15, 5, 0.001, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484023, 15, 10, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484023, 15, 15, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484023, 15, 20, 0.000, 0.489, 0.000500, 
2,10001, 10000,0.99990,490.000, 1.484023, 15, 25, 0.000, 0.489, 0.000500, 
3,10006, 10000,0.99940,500.000, 1.496091, 15, 5, 0.001, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503831, 15, 10, 0.000, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503831, 15, 15, 0.000, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503831, 15, 20, 0.000, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503831, 15, 25, 0.000, 0.499, 0.000500, 
4,10686, 10000,0.93580,950.000, 3.088085, 15, 5, 0.064, 0.887, 0.000500, 
4,10302, 10000,0.97069,950.000, 4.936437, 15, 10, 0.029, 0.921, 0.000500, 
4,10175, 10000,0.98280,950.000, 6.321751, 15, 15, 0.017, 0.932, 0.000500, 
4,10109, 10000,0.98922,950.000, 7.558386, 15, 20, 0.010, 0.938, 0.000500, 
4,10069, 10000,0.99315,950.000, 8.623603, 15, 25, 0.006, 0.941, 0.000500, 
5,10926, 10000,0.91525,1000.000, 3.327255, 15, 5, 0.084, 0.913, 0.000500, 
5,10512, 10000,0.95129,1000.000, 5.758103, 15, 10, 0.048, 0.950, 0.000500, 
5,10371, 10000,0.96423,1000.000, 8.141508, 15, 15, 0.035, 0.963, 0.000500, 
5,10293, 10000,0.97153,1000.000, 10.360596, 15, 20, 0.027, 0.970, 0.000500, 
5,10243, 10000,0.97628,1000.000, 12.644404, 15, 25, 0.022, 0.975, 0.000500, 
6,14977, 10000,0.66769,1500.000, 4.889444, 15, 5, 0.332, 0.996, 0.000500, 
6,14918, 10000,0.67033,1500.000, 9.824178, 15, 10, 0.329, 1.000, 0.000500, 
6,14918, 10000,0.67033,1500.000, 14.809769, 15, 15, 0.329, 1.000, 0.000500, 
6,14918, 10000,0.67033,1500.000, 19.787789, 15, 20, 0.328, 1.000, 0.000500, 
6,14918, 10000,0.67033,1500.000, 24.759687, 15, 25, 0.328, 1.000, 0.000500, 
